   Step   Time    Walltime(s) Profile
1000000   5.0000     2.5495   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
1500000   7.5000     3.8091   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁
2000000  10.0000     5.0645   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
2500000  12.5000     6.3168   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▆▇▇▇████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000     7.5761   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▄▄▄▄▃▃▃▃▂▂▂
3500000  17.5000     8.8336   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▃
4000000  20.0000    10.0980   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    11.3581   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▆▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    12.6150   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    13.8658   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅
